순,기간,자치구,동,사업체수,여성대표자,계,남,여,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
0,2019,종로구,소계,39679,13356,260446,146392,114054,30885,75320,6540,129949,1399,50352,855,4825
1,2019,중구,소계,60127,22451,392568,213484,179084,47614,113743,10629,220325,1197,54570,687,3930
2,2019,용산구,소계,20254,7074,135240,74570,60670,14542,34342,4616,74719,627,21427,469,4752
3,2019,성동구,소계,28343,8563,178243,102769,75474,19844,51464,7250,99399,640,22747,609,4633
4,2019,광진구,소계,24445,8921,126305,67899,58406,19828,50696,3435,49280,516,22249,666,4080
5,2019,동대문구,소계,31324,10456,138400,73067,65333,26308,63629,3562,40411,658,29030,796,5330
6,2019,중랑구,소계,28228,9519,103345,53185,50160,24961,59466,1947,24629,484,15873,836,3377
7,2019,성북구,소계,23617,8922,111005,54975,56030,20229,48948,1867,25338,731,31717,790,5002
8,2019,강북구,소계,19014,7153,73904,34134,39770,16654,40493,1281,17474,381,11382,698,4555
9,2019,도봉구,소계,18628,6269,72939,37598,35341,16363,36212,1143,17447,352,14228,770,5052
10,2019,노원구,소계,26618,9576,116684,54993,61691,22790,53618,2142,27927,658,27447,1028,7692
11,2019,은평구,소계,24681,9535,93631,43830,49801,21412,48586,1698,19734,623,19996,948,5315
12,2019,서대문구,소계,20095,7500,113819,55966,57853,16491,37917,2235,33612,735,38898,634,3392
13,2019,마포구,소계,37290,12919,247276,132558,114718,26069,66963,9339,150115,1064,25174,818,5024
14,2019,양천구,소계,25894,9745,121582,63099,58483,21492,51985,2940,40682,495,21999,967,6916
15,2019,강서구,소계,39458,13619,257494,142209,115285,29613,74637,7744,149168,817,24645,1284,9044
16,2019,구로구,소계,38756,11511,225668,128722,96946,27827,66480,9249,131081,710,20397,970,7710
17,2019,금천구,소계,33814,9359,242686,150589,92097,20852,54372,11666,172426,596,11558,700,4330
18,2019,영등포구,소계,42370,12971,373478,217650,155828,29626,72934,10472,241911,1349,49883,923,8750
19,2019,동작구,소계,19793,7769,106159,52297,53862,16518,40570,1912,36071,579,24259,784,5259
20,2019,관악구,소계,25505,9687,115329,59684,55645,21772,55156,2160,31963,638,21125,935,7085
21,2019,서초구,소계,46940,15153,438985,261147,177838,28317,80767,15339,296803,2240,54090,1044,7325
22,2019,강남구,소계,71027,22257,698840,387884,310956,39566,133158,28027,492570,2237,64848,1197,8264
23,2019,송파구,소계,48644,16675,341201,202213,138988,34037,87468,12223,202453,1127,41053,1257,10227
24,2019,강동구,소계,29080,10358,141770,74700,67070,24578,59518,3136,58173,554,18948,812,5131
