demen_1,demen_2,GU,cluster
0.4644183308971989,0.435935935935936,종로구,0
0.4798734095503039,0.8728728728728732,중구,1
0.3921321476309142,0.9134134134134136,용산구,1
0.4926824448495964,0.5110110110110111,성동구,0
0.5408015663644137,0.4964964964964964,광진구,0
0.5292073443110378,0.5360360360360361,동대문구,0
0.2799195136196598,0.420920920920921,중랑구,2
0.4369266254887992,0.132632632632633,성북구,2
0.2779020754931181,0.1306306306306304,강북구,2
0.257716049382716,0.1466466466466469,도봉구,2
0.177913658524941,0.0,노원구,2
0.251206706548337,0.2542542542542545,은평구,2
0.4460062544733791,0.5515515515515514,서대문구,0
0.5333276210985578,0.7612612612612608,마포구,1
0.1352186752662579,0.0440440440440439,양천구,2
0.4033463904473356,0.6211211211211212,강서구,0
0.234953385340891,0.8918918918918917,구로구,1
0.4224409401378058,0.892392392392392,금천구,1
0.525705292137697,1.0,영등포구,1
0.4162103127244739,0.5095095095095092,동작구,0
0.905255378034973,0.5315315315315314,관악구,-1
0.346297680642466,0.0860860860860865,서초구,2
0.3835194236132912,0.1846846846846848,강남구,2
0.2947962005553003,0.4029029029029027,송파구,2
0.2713541354485214,0.8368368368368366,강동구,1
